learner_id,age_band,province_area,device_access,internet_access,digital_confidence,programming_confidence,ai_familiarity,employment_status,support_need,attendance_risk,notes
L035,18-24,Free State,Laptop,Unstable,3,4,1,Unemployed,Data,Low,Needs data support for online learning.
L036,18-24,Eastern Cape,Phone only,Limited,2,1,2,Unemployed,Data,Medium,Needs data support for online learning.
L037,30-35,Eastern Cape,Laptop,Unstable,3,2,4,Unemployed,Mentoring,High,Would benefit from mentoring and career guidance.
L038,30-35,Western Cape,Laptop,Limited,3,2,2,Unemployed,Data,Low,Needs data support for online learning.
L039,25-29,KZN,Laptop,Limited,1,1,1,Unemployed,Transport,Low,May need transport support to attend sessions.
L040,30-35,Limpopo,Laptop,Reliable,4,4,2,Under-employed,Academic support,Medium,Needs extra help with programming fundamentals.
L041,18-24,Free State,Laptop,Reliable,5,1,3,Unemployed,Academic support,Medium,Needs extra help with programming fundamentals.
L042,25-29,Limpopo,Shared laptop,Reliable,2,4,1,Unemployed,Data,Low,Needs data support for online learning.
L043,18-24,Gauteng,Shared laptop,Reliable,2,2,3,Unemployed,Mentoring,High,Would benefit from mentoring and career guidance.
L044,25-29,KZN,Laptop,Limited,3,3,1,Under-employed,Data,Low,Needs data support for online learning.
L045,18-24,Eastern Cape,Laptop,Reliable,3,5,4,Unemployed,Mentoring,Medium,Would benefit from mentoring and career guidance.
L046,30-35,Gauteng,Shared laptop,Unstable,5,5,3,Employed part-time,Academic support,High,Needs extra help with programming fundamentals.
L047,18-24,Western Cape,Phone only,Limited,2,2,1,Unemployed,Data,Medium,Needs data support for online learning.
L048,30-35,Gauteng,Laptop,Reliable,5,5,3,Under-employed,Academic support,Low,Needs extra help with programming fundamentals.
L049,25-29,Gauteng,Laptop,Reliable,4,3,5,Unemployed,Data,Low,Needs data support for online learning.
L050,30-35,Free State,Laptop,Reliable,2,4,3,Unemployed,Mentoring,Low,Would benefit from mentoring and career guidance.
